strang,  range
brake,  break 
brack,  break
weanter,  winter
gost,  ghost 
expect,  except
steped,  stepped
streagh,  strange
colow,  coloured
exclation,  escalator
noicey,  noticed 
fance,  fence 
kille,  kill
nerrow,  arrow
depe,  deep
gardon,  garden
belu,  blew
angray,  angry
leavs,  leaves 
manger,  manager
aero,  arrow
ansion,  ancient 
dear,  deer 
flu,  flew 
noice,  noise
stright,  straight
menes,  means 
waight,  waits
arow,  arrow 
dick,  dig 
pice,  piece
tarpp,  trap 
nose,  noise
skeard,  scared 
ribbetes,  rabbits
stons,  stones 
chaching,  chasing
handred,  hundred 
coulorful,  colourful
crowns,  clowns 
easly,  easily
comming,  coming
wondered,  wandered 
controle,  control 
chating,  chatting 
wardrope,  wardrobe 
temerature,  temperature 
neibours,  neighbors
prinsess,  princess 
arrengiments,  arrangements
hamer,  hammer
mite,  might 
deferent,  different 
cloves,  clothes 
sharpner,  sharpener
chinease,  chinese
bottal,  bottle 
here,  hear
of,  off 
thisty,  thirsty
march,  match 
sarden,  sudden 
certon,  curtain 
babbles,  bubbles
barth,  bath
clouths,  clothes 
skeard,  scared 
throw,  through
exsiting,  exciting
crames,  crumbs
carful,  careful
gost,  ghost
mak,  make
candel,  candle
laddy,  lady 
bard,  bad
thander,  thunder 
sargent,  sergeant
nose,  noise 
rube,  rub
cruch,  crush 
triped,  tripped 
tuisse,  tissue 
want,  what 
writting,  writing 
straigt,  straight
througt,  thought
whated,  wanted 
bounsing,  bouncing 
fruts,  fruits 
noteics,  notice 
charcing,  charging 
stroe,  stall 
girrife,  giraffe 
circodile,  crocodile
iorn,  iron 
kives,  knives
chimmys,  chimneys
blackbroad,  blackboard
golb,  globe 
cupbroad,  cupboard 
swith,  switch
thinest,  thinnest
fatest,  fattest
feild,  field
cerry,  cherry
being,  beginning
nodles,  noodles
whith,  with
belive,  believe 
belive,  believe
knowledg,  knowledge
speach,  speech
coulor,  colour 
beark,  break
feind,  find 
cuple,  couple
dustpin,  dustbin
emptyed,  emptied
repared,  repaired
emtied,  emptied 
where,  were
belive,  believes
fameous,  famous 
centery,  century
tired,  tried 
petroil,  petrol 
tryed,  tried 
extrange,  strange
tryed,  tried 
hited,  hit 
forgoten,  forgotten
setted,  set
shooted,  shot 
prision,  prison 
craying,  crying 
las,  last
weigh,  weight 
happend,  happened
safed,  saved 
becom,  become
happend,  happened 
hollidays,  holidays
photographes,  photographs
wich,  which
wolfe,  wolf
discoverd,  discovered
photographe,  photograph
unborne,  unborn
misterious,  mysterious 
chosing,  choosing
rapresents,  represents
ridicolous,  ridiculous 
scientificly,  scientifically 
advertisments,  advertisements
immagination,  imagination
bann,  ban 
happyness,  happiness 
pleasent,  pleasant 
dialing,  dialing 
actualy,  actually
tireing,  tiring
pocker,  poker 
existance,  existence
phisical,  physical
doupt,  doubt
analize,  analyse
devlopping,  developing
personnaly,  personally 
breath,  breathe 
perfums,  perfumes 
interprete,  interpret
stomache,  stomach 
paralised,  paralyzed
belief,  believe 
occured,  occurred
wether,  whether
extremly,  extremely
chose,  choose
oppinion,  opinion
wat,  what 
contenue,  continue 
quiet,  quite
thout,  thought
heart,  heard 
obvisicly,  obviously 
prays,  praise
screeming,  screaming
absorbe,  absorb 
starring,  staring
caffe,  cafe
showen,  shown 
companys,  companies 
their,  there
tendancy,  tendency 
snak-bar,  snack-bar 
controll,  control 
condact,  contact
visit,  visited
magnefision,  magnificent
aposit,  opposite
galleroy,  gallery
spenlid,  splendid
purpal,  purple
cartin,  curtains
wrot,  wrote
politray,  poetry
understan,  understand
latec,  latest
poven,  poems
stranch,  strange
pernated,  pretend
realy,  really
sapshal,  special
repeparan,  refreshment
juce,  juice
bicketes,  biscuits
stomak,  stomach
conteted,  contented
shore,  sure
beatyful,  beautiful
khole,  whole
clime,  climb
bilt,  built
minner,  minor
savthm,  southern
spashel,  special
seasice,  scissors
seaksily,  scarcely
byesicle,  bicycle
inneshe,  initials
reaseat,  receipt
wasit,  waist
remined,  remind
rain,  reign
inkevanins,  inconvenient
singnher,  signature
sacsesfull,  successful
granty,  guarantee
babyes,  babies
thier,  their
dinging,  digging
stake,  steak
verest,  various
incloden,  including
phototes,  potatoes
edmittet,  admitted
recevid,  received
bounes,  bonus
sellybrat,  celebrate
stil,  still
dang,  dug
gardon,  garden
progres,  progress
noticsport,  noticeable
offten,  often
anty,  aunt
magneficent,  magnificent
oppict,  opposite
galary,  gallery
remmeber,  remember
spilend,  splendid
pupel,  purple
carttens,  curtains
wortte,  wrote
poletry,  poetry
prbolom,  problem
undester,  understand
pomes,  poems
stareng,  strange
want'd,  wanted
pottend,  pretend
relly,  really
spical,  special
revesment,  refreshment
buscates,  biscuits
stimic,  stomach
condented,  contented
wholl,  whole
clumb,  climb
billet,  built
miner,  minor
southen,  southern
offull,  awful
spical,  special
siscals,  scissors
scacally,  scarcely
bicals,  bicycle
inials,  initials
recet,  receipt
coarte,  court
west,  waist
reminde,  remind
reine,  reign
incovenent,  inconvenient
sigether,  signature
sccsfull,  successful
greanty,  guarantee
babyes,  babies
yestarday,  yesterday
diking,  digging
stake,  steak
varies,  various
vagetabels,  vegetables
incouling,  including
potiotes,  potatoes
atmided,  admitted
resived,  received
bonies,  bonus
selberate,  celebrate
duck,  dug
facet,  fact
porgress,  progress
notsabil,  noticeable
magnifum,  magnificent
oppsite,  opposite
galeey,  gallery
remebre,  remember
splindid,  splendid
purpil,  purple
cartaines,  curtains
poiltry,  poetry
under_stand,  understand
wards,  words
pratande,  pretend
real,  really
spical,  special
refreshion,  refreshment
lift,  left
stumk,  stomach
contanted,  contented
grate,  great
shoure,  sure
beautyfull,  beautiful
clime,  climb
builet,  built
mina,  minor
sadan,  southern
spical,  special
saizer,  scissors
sicasely,  scarcely
bycycle,  bicycle
nisal,  initials
reseat,  receipt
corret,  court
waiste,  waist
reminde,  remind
wraine,  reign
succaful,  successful
gurantte,  guarantee
babys,  babies
there,  their
baries,  various
inculding,  including
dinning,  dining
add_metted,  admitted
bounes,  bonus
salevate,  celebrate
prograss,  progress
notice_board,  noticeable
magnifisant,  magnificent
oppersit,  opposite
galary,  gallery
splended,  splendid
poiatary,  poetry
lastest,  latest
poim,  poems
strainged,  strange
pretented,  pretend
realy,  really
jues,  juice
bescuts,  biscuits
stomak,  stomach
contanted,  contented
miner,  minor
sauthan,  southern
aufull,  awful
cises,  scissors
skisaly,  scarcely
enesiles,  initials
cort,  court
wiest,  waist
reain,  reign
cuzarantee,  guarantee
yersterday,  yesterday
stake,  steak
